datetime,temperature,humidity,wind_speed,pressure
2017-01-01T00:00:00,26,85,9.3,982.5
2017-01-01T03:00:00,25,94,7.4,981.8
2017-01-01T06:00:00,22,92,14.8,981.3
2017-01-01T09:00:00,25.2,90,18.5,983.3
2017-01-01T12:00:00,28.8,79,12.1,985.3
2017-01-01T15:00:00,31.8,75,18.5,984.3
2017-01-01T18:00:00,30,79,7.4,982.7
2017-01-01T21:00:00,23,100,11.1,983.4
2017-01-02T00:00:00,22,100,0,983.9
2017-01-02T03:00:00,22,100,0,982.9
2017-01-02T06:00:00,22,92,0,982.9
2017-01-02T09:00:00,26,85,7.4,985.1
2017-01-02T12:00:00,31.4,70,9.3,985.1
2017-01-02T15:00:00,34,56,0,982.3
2017-01-02T18:00:00,33,61,11.1,979.2
2017-01-02T21:00:00,26.4,75,7.4,981.1
2017-01-03T00:00:00,25.4,82,5.6,981.3
2017-01-03T03:00:00,23.4,88,7.4,980.4
2017-01-03T06:00:00,23.4,89,9.3,980.9
2017-01-03T09:00:00,27.6,80,14.8,982.3
2017-01-03T12:00:00,31.2,64,14.8,981.9
2017-01-03T15:00:00,32.2,60,14.8,979.8
2017-01-03T18:00:00,31.8,67,7.4,977
2017-01-03T21:00:00,28,78,5.6,978.4
2017-01-04T00:00:00,26.2,90,11.1,981.3
2017-01-04T03:00:00,25,92,7.4,980
2017-01-04T06:00:00,23.4,96,5.6,978.6
2017-01-04T09:00:00,28.4,74,22.2,981.1
2017-01-04T12:00:00,32.4,64,37.1,981.1
2017-01-04T15:00:00,34.4,55,18.5,980.5
2017-01-04T18:00:00,33.4,58,11.1,977.5
2017-01-04T21:00:00,28.8,79,5.6,979.1
2017-01-05T00:00:00,26.4,82,25.9,981.5
2017-01-05T03:00:00,29.8,68,18.5,980.5
2017-01-05T06:00:00,23.8,92,18.5,980.9
2017-01-05T09:00:00,26,83,12.1,983.4
2017-01-05T12:00:00,26.6,80,5.6,984.5
2017-01-05T15:00:00,30,72,5.6,982.9
2017-01-05T18:00:00,23.6,91,11.1,982.7
2017-01-05T21:00:00,22.8,94,11.1,983.3
2017-01-06T00:00:00,23.4,95,5.6,984.5
2017-01-06T03:00:00,22.2,98,5.6,983.1
2017-01-06T06:00:00,22.8,94,0,983.6
2017-01-06T09:00:00,25,91,0,985.6
2017-01-06T12:00:00,28,71,11.1,985.5
2017-01-06T15:00:00,29.6,68,16.7,984.2
2017-01-06T18:00:00,29.4,69,5.6,982.1
2017-01-06T21:00:00,26.8,85,5.6,983.5
2017-01-07T00:00:00,24.4,88,0,983.9
2017-01-07T03:00:00,23.4,88,5.6,983.4
2017-01-07T06:00:00,22.4,89,11.1,983.6
2017-01-07T09:00:00,27,84,12.1,985.2
2017-01-07T12:00:00,31,65,11.1,985.5
2017-01-07T15:00:00,33.4,58,7.4,983.5
2017-01-07T18:00:00,30,77,3.7,982.3
2017-01-07T21:00:00,24,92,12.1,984.1
